timestamp,namespace,pod,cpu_usage,memory_usage
2024-06-12T20:24:08,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,21Mi
2024-06-12T20:24:38,kube-system,metrics-server-658f8d9ccf-bjsbk,2m,21Mi
2024-06-12T20:25:09,kube-system,metrics-server-658f8d9ccf-bjsbk,2m,21Mi
2024-06-12T20:25:38,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,21Mi
2024-06-12T20:26:08,kube-system,metrics-server-658f8d9ccf-bjsbk,2m,21Mi
2024-06-12T20:26:38,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,21Mi
2024-06-12T20:27:08,kube-system,metrics-server-658f8d9ccf-bjsbk,2m,21Mi
2024-06-12T20:27:38,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,21Mi
2024-06-12T20:28:09,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,21Mi
2024-06-12T20:28:38,kube-system,metrics-server-658f8d9ccf-bjsbk,2m,21Mi
2024-06-12T20:29:08,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,21Mi
2024-06-12T20:29:38,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,21Mi
2024-06-12T20:30:08,kube-system,metrics-server-658f8d9ccf-bjsbk,2m,21Mi
2024-06-12T20:30:38,kube-system,metrics-server-658f8d9ccf-bjsbk,2m,21Mi
2024-06-12T20:31:09,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,21Mi
2024-06-12T20:31:38,kube-system,metrics-server-658f8d9ccf-bjsbk,2m,21Mi
2024-06-12T20:32:08,kube-system,metrics-server-658f8d9ccf-bjsbk,2m,21Mi
2024-06-12T20:32:38,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,21Mi
2024-06-12T20:33:08,kube-system,metrics-server-658f8d9ccf-bjsbk,2m,21Mi
2024-06-12T20:33:38,kube-system,metrics-server-658f8d9ccf-bjsbk,2m,21Mi
