timestamp,namespace,pod,cpu_usage,memory_usage
2024-06-12T20:09:49,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:10:19,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:10:49,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:11:19,kube-system,metrics-server-658f8d9ccf-bjsbk,4m,20Mi
2024-06-12T20:11:49,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:12:19,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:12:49,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:13:19,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:13:49,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:14:19,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:14:49,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:15:19,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:15:49,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:16:20,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:16:49,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,21Mi
2024-06-12T20:17:19,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:17:49,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:18:19,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,21Mi
2024-06-12T20:18:49,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,20Mi
2024-06-12T20:19:19,kube-system,metrics-server-658f8d9ccf-bjsbk,3m,21Mi
