timestamp,namespace,pod,cpu_usage,memory_usage
2024-05-30T23:18:38,keda,keda-add-ons-http-controller-manager-8545f7989c-kkrbx,2m,18Mi
2024-05-30T23:18:38,keda,keda-add-ons-http-external-scaler-7566d66c5d-m5482,3m,11Mi
2024-05-30T23:18:38,keda,keda-add-ons-http-external-scaler-7566d66c5d-mcbwr,4m,11Mi
2024-05-30T23:18:38,keda,keda-add-ons-http-external-scaler-7566d66c5d-zwjqk,7m,11Mi
2024-05-30T23:18:38,keda,keda-add-ons-http-interceptor-76bfc5fcb-rqtsn,3m,10Mi
2024-05-30T23:18:38,keda,keda-add-ons-http-interceptor-76bfc5fcb-tllqf,3m,10Mi
2024-05-30T23:18:38,keda,keda-add-ons-http-interceptor-76bfc5fcb-wlfwz,4m,10Mi
2024-05-30T23:18:38,keda,keda-admission-webhooks-554fc8d77f-x6p97,1m,8Mi
2024-05-30T23:18:38,keda,keda-operator-dd878ddf6-pxh22,5m,32Mi
2024-05-30T23:18:38,keda,keda-operator-metrics-apiserver-86cc9c6fff-crs5m,3m,26Mi
2024-05-30T23:19:08,keda,keda-add-ons-http-controller-manager-8545f7989c-kkrbx,3m,18Mi
2024-05-30T23:19:08,keda,keda-add-ons-http-external-scaler-7566d66c5d-m5482,4m,11Mi
2024-05-30T23:19:08,keda,keda-add-ons-http-external-scaler-7566d66c5d-mcbwr,4m,10Mi
2024-05-30T23:19:08,keda,keda-add-ons-http-external-scaler-7566d66c5d-zwjqk,7m,11Mi
2024-05-30T23:19:08,keda,keda-add-ons-http-interceptor-76bfc5fcb-rqtsn,6m,11Mi
2024-05-30T23:19:08,keda,keda-add-ons-http-interceptor-76bfc5fcb-tllqf,6m,10Mi
2024-05-30T23:19:08,keda,keda-add-ons-http-interceptor-76bfc5fcb-wlfwz,6m,10Mi
2024-05-30T23:19:08,keda,keda-admission-webhooks-554fc8d77f-x6p97,2m,8Mi
2024-05-30T23:19:08,keda,keda-operator-dd878ddf6-pxh22,14m,32Mi
2024-05-30T23:19:08,keda,keda-operator-metrics-apiserver-86cc9c6fff-crs5m,3m,26Mi
2024-05-30T23:19:38,keda,keda-add-ons-http-controller-manager-8545f7989c-kkrbx,3m,18Mi
2024-05-30T23:19:38,keda,keda-add-ons-http-external-scaler-7566d66c5d-m5482,4m,11Mi
2024-05-30T23:19:38,keda,keda-add-ons-http-external-scaler-7566d66c5d-mcbwr,4m,10Mi
2024-05-30T23:19:38,keda,keda-add-ons-http-external-scaler-7566d66c5d-zwjqk,7m,11Mi
2024-05-30T23:19:38,keda,keda-add-ons-http-interceptor-76bfc5fcb-rqtsn,6m,11Mi
2024-05-30T23:19:38,keda,keda-add-ons-http-interceptor-76bfc5fcb-tllqf,6m,12Mi
2024-05-30T23:19:38,keda,keda-add-ons-http-interceptor-76bfc5fcb-wlfwz,6m,11Mi
2024-05-30T23:19:38,keda,keda-admission-webhooks-554fc8d77f-x6p97,2m,9Mi
2024-05-30T23:19:38,keda,keda-operator-dd878ddf6-pxh22,13m,32Mi
2024-05-30T23:19:38,keda,keda-operator-metrics-apiserver-86cc9c6fff-crs5m,3m,27Mi
2024-05-30T23:20:08,keda,keda-add-ons-http-controller-manager-8545f7989c-kkrbx,3m,18Mi
2024-05-30T23:20:08,keda,keda-add-ons-http-external-scaler-7566d66c5d-m5482,3m,11Mi
2024-05-30T23:20:08,keda,keda-add-ons-http-external-scaler-7566d66c5d-mcbwr,5m,10Mi
2024-05-30T23:20:08,keda,keda-add-ons-http-external-scaler-7566d66c5d-zwjqk,8m,11Mi
2024-05-30T23:20:08,keda,keda-add-ons-http-interceptor-76bfc5fcb-rqtsn,6m,11Mi
2024-05-30T23:20:08,keda,keda-add-ons-http-interceptor-76bfc5fcb-tllqf,6m,12Mi
2024-05-30T23:20:08,keda,keda-add-ons-http-interceptor-76bfc5fcb-wlfwz,6m,11Mi
2024-05-30T23:20:08,keda,keda-admission-webhooks-554fc8d77f-x6p97,2m,9Mi
2024-05-30T23:20:08,keda,keda-operator-dd878ddf6-pxh22,13m,32Mi
2024-05-30T23:20:08,keda,keda-operator-metrics-apiserver-86cc9c6fff-crs5m,3m,26Mi
2024-05-30T23:20:38,keda,keda-add-ons-http-controller-manager-8545f7989c-kkrbx,3m,18Mi
2024-05-30T23:20:38,keda,keda-add-ons-http-external-scaler-7566d66c5d-m5482,4m,11Mi
2024-05-30T23:20:38,keda,keda-add-ons-http-external-scaler-7566d66c5d-mcbwr,4m,10Mi
2024-05-30T23:20:38,keda,keda-add-ons-http-external-scaler-7566d66c5d-zwjqk,8m,11Mi
2024-05-30T23:20:38,keda,keda-add-ons-http-interceptor-76bfc5fcb-rqtsn,6m,11Mi
2024-05-30T23:20:38,keda,keda-add-ons-http-interceptor-76bfc5fcb-tllqf,6m,12Mi
2024-05-30T23:20:38,keda,keda-add-ons-http-interceptor-76bfc5fcb-wlfwz,6m,11Mi
2024-05-30T23:20:38,keda,keda-admission-webhooks-554fc8d77f-x6p97,2m,9Mi
2024-05-30T23:20:38,keda,keda-operator-dd878ddf6-pxh22,13m,33Mi
2024-05-30T23:20:38,keda,keda-operator-metrics-apiserver-86cc9c6fff-crs5m,4m,26Mi
2024-05-30T23:21:08,keda,keda-add-ons-http-controller-manager-8545f7989c-kkrbx,2m,18Mi
2024-05-30T23:21:08,keda,keda-add-ons-http-external-scaler-7566d66c5d-m5482,3m,11Mi
2024-05-30T23:21:08,keda,keda-add-ons-http-external-scaler-7566d66c5d-mcbwr,4m,10Mi
2024-05-30T23:21:08,keda,keda-add-ons-http-external-scaler-7566d66c5d-zwjqk,7m,12Mi
2024-05-30T23:21:08,keda,keda-add-ons-http-interceptor-76bfc5fcb-rqtsn,6m,11Mi
2024-05-30T23:21:08,keda,keda-add-ons-http-interceptor-76bfc5fcb-tllqf,5m,12Mi
2024-05-30T23:21:08,keda,keda-add-ons-http-interceptor-76bfc5fcb-wlfwz,6m,11Mi
2024-05-30T23:21:08,keda,keda-admission-webhooks-554fc8d77f-x6p97,2m,9Mi
2024-05-30T23:21:08,keda,keda-operator-dd878ddf6-pxh22,13m,33Mi
2024-05-30T23:21:08,keda,keda-operator-metrics-apiserver-86cc9c6fff-crs5m,3m,26Mi
2024-05-30T23:21:38,keda,keda-add-ons-http-controller-manager-8545f7989c-kkrbx,3m,18Mi
2024-05-30T23:21:38,keda,keda-add-ons-http-external-scaler-7566d66c5d-m5482,3m,11Mi
2024-05-30T23:21:38,keda,keda-add-ons-http-external-scaler-7566d66c5d-mcbwr,4m,10Mi
2024-05-30T23:21:38,keda,keda-add-ons-http-external-scaler-7566d66c5d-zwjqk,8m,11Mi
2024-05-30T23:21:38,keda,keda-add-ons-http-interceptor-76bfc5fcb-rqtsn,6m,12Mi
2024-05-30T23:21:38,keda,keda-add-ons-http-interceptor-76bfc5fcb-tllqf,6m,12Mi
2024-05-30T23:21:38,keda,keda-add-ons-http-interceptor-76bfc5fcb-wlfwz,6m,11Mi
2024-05-30T23:21:38,keda,keda-admission-webhooks-554fc8d77f-x6p97,2m,9Mi
2024-05-30T23:21:38,keda,keda-operator-dd878ddf6-pxh22,14m,33Mi
2024-05-30T23:21:38,keda,keda-operator-metrics-apiserver-86cc9c6fff-crs5m,3m,26Mi
2024-05-30T23:22:08,keda,keda-add-ons-http-controller-manager-8545f7989c-kkrbx,2m,18Mi
2024-05-30T23:22:08,keda,keda-add-ons-http-external-scaler-7566d66c5d-m5482,4m,11Mi
2024-05-30T23:22:08,keda,keda-add-ons-http-external-scaler-7566d66c5d-mcbwr,4m,10Mi
2024-05-30T23:22:08,keda,keda-add-ons-http-external-scaler-7566d66c5d-zwjqk,8m,11Mi
2024-05-30T23:22:08,keda,keda-add-ons-http-interceptor-76bfc5fcb-rqtsn,6m,12Mi
