timestamp,namespace,pod,cpu_usage,memory_usage
2024-05-30T23:06:16,keda,keda-add-ons-http-controller-manager-8545f7989c-kkrbx,2m,18Mi
2024-05-30T23:06:16,keda,keda-add-ons-http-external-scaler-7566d66c5d-m5482,4m,11Mi
2024-05-30T23:06:16,keda,keda-add-ons-http-external-scaler-7566d66c5d-mcbwr,4m,11Mi
2024-05-30T23:06:16,keda,keda-add-ons-http-external-scaler-7566d66c5d-zwjqk,7m,11Mi
2024-05-30T23:06:16,keda,keda-add-ons-http-interceptor-76bfc5fcb-rqtsn,3m,10Mi
2024-05-30T23:06:16,keda,keda-add-ons-http-interceptor-76bfc5fcb-tllqf,3m,10Mi
2024-05-30T23:06:16,keda,keda-add-ons-http-interceptor-76bfc5fcb-wlfwz,4m,10Mi
2024-05-30T23:06:16,keda,keda-admission-webhooks-554fc8d77f-x6p97,1m,8Mi
2024-05-30T23:06:16,keda,keda-operator-dd878ddf6-pxh22,6m,32Mi
2024-05-30T23:06:16,keda,keda-operator-metrics-apiserver-86cc9c6fff-crs5m,4m,27Mi
2024-05-30T23:06:46,keda,keda-add-ons-http-controller-manager-8545f7989c-kkrbx,2m,18Mi
2024-05-30T23:06:46,keda,keda-add-ons-http-external-scaler-7566d66c5d-m5482,3m,11Mi
2024-05-30T23:06:46,keda,keda-add-ons-http-external-scaler-7566d66c5d-mcbwr,4m,11Mi
2024-05-30T23:06:46,keda,keda-add-ons-http-external-scaler-7566d66c5d-zwjqk,6m,11Mi
2024-05-30T23:06:46,keda,keda-add-ons-http-interceptor-76bfc5fcb-rqtsn,3m,10Mi
2024-05-30T23:06:46,keda,keda-add-ons-http-interceptor-76bfc5fcb-tllqf,3m,10Mi
2024-05-30T23:06:46,keda,keda-add-ons-http-interceptor-76bfc5fcb-wlfwz,4m,10Mi
2024-05-30T23:06:46,keda,keda-admission-webhooks-554fc8d77f-x6p97,1m,8Mi
2024-05-30T23:06:46,keda,keda-operator-dd878ddf6-pxh22,6m,32Mi
