timestamp,namespace,pod,cpu_usage,memory_usage
2024-05-29T22:34:48,keda,keda-add-ons-http-controller-manager-8545f7989c-25jhq,2m,78Mi
2024-05-29T22:34:48,keda,keda-add-ons-http-external-scaler-7566d66c5d-5fglk,3m,11Mi
2024-05-29T22:34:48,keda,keda-add-ons-http-external-scaler-7566d66c5d-k8bqw,6m,11Mi
2024-05-29T22:34:48,keda,keda-add-ons-http-external-scaler-7566d66c5d-sksnj,4m,11Mi
2024-05-29T22:34:48,keda,keda-add-ons-http-interceptor-896d565d6-l56zv,72m,46Mi
2024-05-29T22:34:48,keda,keda-add-ons-http-interceptor-896d565d6-lpz62,201m,49Mi
2024-05-29T22:34:48,keda,keda-add-ons-http-interceptor-896d565d6-mt7fm,3m,45Mi
2024-05-29T22:34:48,keda,keda-admission-webhooks-554fc8d77f-kkbhl,2m,38Mi
2024-05-29T22:34:48,keda,keda-operator-dd878ddf6-sghjs,7m,101Mi
2024-05-29T22:34:48,keda,keda-operator-metrics-apiserver-86cc9c6fff-lbmsr,3m,80Mi
2024-05-29T22:35:18,keda,keda-add-ons-http-controller-manager-8545f7989c-25jhq,3m,78Mi
2024-05-29T22:35:18,keda,keda-add-ons-http-external-scaler-7566d66c5d-5fglk,3m,11Mi
2024-05-29T22:35:18,keda,keda-add-ons-http-external-scaler-7566d66c5d-k8bqw,6m,11Mi
2024-05-29T22:35:18,keda,keda-add-ons-http-external-scaler-7566d66c5d-sksnj,3m,11Mi
2024-05-29T22:35:18,keda,keda-add-ons-http-interceptor-896d565d6-l56zv,435m,50Mi
2024-05-29T22:35:18,keda,keda-add-ons-http-interceptor-896d565d6-lpz62,498m,51Mi
2024-05-29T22:35:18,keda,keda-add-ons-http-interceptor-896d565d6-mt7fm,472m,50Mi
2024-05-29T22:35:18,keda,keda-admission-webhooks-554fc8d77f-kkbhl,2m,38Mi
2024-05-29T22:35:18,keda,keda-operator-dd878ddf6-sghjs,10m,101Mi
2024-05-29T22:35:18,keda,keda-operator-metrics-apiserver-86cc9c6fff-lbmsr,2m,80Mi
2024-05-29T22:35:48,keda,keda-add-ons-http-controller-manager-8545f7989c-25jhq,2m,78Mi
2024-05-29T22:35:48,keda,keda-add-ons-http-external-scaler-7566d66c5d-5fglk,3m,11Mi
2024-05-29T22:35:48,keda,keda-add-ons-http-external-scaler-7566d66c5d-k8bqw,7m,11Mi
2024-05-29T22:35:48,keda,keda-add-ons-http-external-scaler-7566d66c5d-sksnj,4m,11Mi
2024-05-29T22:35:48,keda,keda-add-ons-http-interceptor-896d565d6-l56zv,268m,50Mi
2024-05-29T22:35:48,keda,keda-add-ons-http-interceptor-896d565d6-lpz62,498m,54Mi
2024-05-29T22:35:48,keda,keda-add-ons-http-interceptor-896d565d6-mt7fm,206m,50Mi
2024-05-29T22:35:48,keda,keda-admission-webhooks-554fc8d77f-kkbhl,2m,38Mi
2024-05-29T22:35:48,keda,keda-operator-dd878ddf6-sghjs,10m,101Mi
2024-05-29T22:35:48,keda,keda-operator-metrics-apiserver-86cc9c6fff-lbmsr,3m,80Mi
2024-05-29T22:36:18,keda,keda-add-ons-http-controller-manager-8545f7989c-25jhq,3m,78Mi
2024-05-29T22:36:18,keda,keda-add-ons-http-external-scaler-7566d66c5d-5fglk,3m,11Mi
2024-05-29T22:36:18,keda,keda-add-ons-http-external-scaler-7566d66c5d-k8bqw,6m,11Mi
2024-05-29T22:36:18,keda,keda-add-ons-http-external-scaler-7566d66c5d-sksnj,3m,11Mi
2024-05-29T22:36:18,keda,keda-add-ons-http-interceptor-896d565d6-l56zv,427m,50Mi
2024-05-29T22:36:18,keda,keda-add-ons-http-interceptor-896d565d6-lpz62,498m,54Mi
2024-05-29T22:36:18,keda,keda-add-ons-http-interceptor-896d565d6-mt7fm,441m,50Mi
2024-05-29T22:36:18,keda,keda-admission-webhooks-554fc8d77f-kkbhl,2m,39Mi
2024-05-29T22:36:18,keda,keda-operator-dd878ddf6-sghjs,10m,101Mi
2024-05-29T22:36:18,keda,keda-operator-metrics-apiserver-86cc9c6fff-lbmsr,3m,80Mi
2024-05-29T22:36:48,keda,keda-add-ons-http-controller-manager-8545f7989c-25jhq,3m,78Mi
2024-05-29T22:36:48,keda,keda-add-ons-http-external-scaler-7566d66c5d-5fglk,3m,11Mi
2024-05-29T22:36:48,keda,keda-add-ons-http-external-scaler-7566d66c5d-k8bqw,6m,11Mi
2024-05-29T22:36:48,keda,keda-add-ons-http-external-scaler-7566d66c5d-sksnj,4m,11Mi
2024-05-29T22:36:48,keda,keda-add-ons-http-interceptor-896d565d6-l56zv,166m,50Mi
