timestamp,namespace,pod,cpu_usage,memory_usage
2024-06-02T15:00:24,keda,keda-add-ons-http-controller-manager-8545f7989c-z252r,2m,18Mi
2024-06-02T15:00:24,keda,keda-add-ons-http-external-scaler-7566d66c5d-5pbwr,6m,11Mi
2024-06-02T15:00:24,keda,keda-add-ons-http-external-scaler-7566d66c5d-74jcb,3m,10Mi
2024-06-02T15:00:24,keda,keda-add-ons-http-external-scaler-7566d66c5d-bqpcw,3m,11Mi
2024-06-02T15:00:24,keda,keda-add-ons-http-interceptor-896d565d6-7m9b8,473m,13Mi
2024-06-02T15:00:24,keda,keda-add-ons-http-interceptor-896d565d6-nrqsf,438m,14Mi
2024-06-02T15:00:24,keda,keda-add-ons-http-interceptor-896d565d6-zqpgm,495m,14Mi
2024-06-02T15:00:24,keda,keda-admission-webhooks-554fc8d77f-kdp9g,2m,8Mi
2024-06-02T15:00:24,keda,keda-operator-dd878ddf6-kwzxq,11m,32Mi
2024-06-02T15:00:24,keda,keda-operator-metrics-apiserver-86cc9c6fff-5vmcz,3m,26Mi
2024-06-02T15:00:55,keda,keda-add-ons-http-controller-manager-8545f7989c-z252r,2m,18Mi
2024-06-02T15:00:55,keda,keda-add-ons-http-external-scaler-7566d66c5d-5pbwr,7m,11Mi
2024-06-02T15:00:55,keda,keda-add-ons-http-external-scaler-7566d66c5d-74jcb,3m,10Mi
2024-06-02T15:00:55,keda,keda-add-ons-http-external-scaler-7566d66c5d-bqpcw,3m,11Mi
2024-06-02T15:00:55,keda,keda-add-ons-http-interceptor-896d565d6-7m9b8,447m,14Mi
2024-06-02T15:00:55,keda,keda-add-ons-http-interceptor-896d565d6-nrqsf,407m,15Mi
2024-06-02T15:00:55,keda,keda-add-ons-http-interceptor-896d565d6-zqpgm,499m,17Mi
2024-06-02T15:00:55,keda,keda-admission-webhooks-554fc8d77f-kdp9g,2m,9Mi
2024-06-02T15:00:55,keda,keda-operator-dd878ddf6-kwzxq,12m,32Mi
2024-06-02T15:00:55,keda,keda-operator-metrics-apiserver-86cc9c6fff-5vmcz,3m,26Mi
2024-06-02T15:01:24,keda,keda-add-ons-http-controller-manager-8545f7989c-z252r,3m,18Mi
2024-06-02T15:01:24,keda,keda-add-ons-http-external-scaler-7566d66c5d-5pbwr,7m,11Mi
2024-06-02T15:01:24,keda,keda-add-ons-http-external-scaler-7566d66c5d-74jcb,4m,10Mi
2024-06-02T15:01:24,keda,keda-add-ons-http-external-scaler-7566d66c5d-bqpcw,3m,11Mi
2024-06-02T15:01:24,keda,keda-add-ons-http-interceptor-896d565d6-7m9b8,428m,15Mi
2024-06-02T15:01:24,keda,keda-add-ons-http-interceptor-896d565d6-nrqsf,358m,15Mi
2024-06-02T15:01:24,keda,keda-add-ons-http-interceptor-896d565d6-zqpgm,499m,18Mi
2024-06-02T15:01:24,keda,keda-admission-webhooks-554fc8d77f-kdp9g,2m,9Mi
2024-06-02T15:01:24,keda,keda-operator-dd878ddf6-kwzxq,13m,32Mi
2024-06-02T15:01:24,keda,keda-operator-metrics-apiserver-86cc9c6fff-5vmcz,3m,26Mi
2024-06-02T15:01:54,keda,keda-add-ons-http-controller-manager-8545f7989c-z252r,2m,18Mi
2024-06-02T15:01:54,keda,keda-add-ons-http-external-scaler-7566d66c5d-5pbwr,7m,11Mi
2024-06-02T15:01:54,keda,keda-add-ons-http-external-scaler-7566d66c5d-74jcb,4m,10Mi
2024-06-02T15:01:54,keda,keda-add-ons-http-external-scaler-7566d66c5d-bqpcw,3m,11Mi
2024-06-02T15:01:54,keda,keda-add-ons-http-interceptor-896d565d6-7m9b8,422m,15Mi
2024-06-02T15:01:54,keda,keda-add-ons-http-interceptor-896d565d6-nrqsf,408m,15Mi
2024-06-02T15:01:54,keda,keda-add-ons-http-interceptor-896d565d6-zqpgm,499m,18Mi
