timestamp,namespace,pod,cpu_usage,memory_usage
2024-06-02T14:43:36,keda,keda-add-ons-http-controller-manager-8545f7989c-z252r,2m,18Mi
2024-06-02T14:43:36,keda,keda-add-ons-http-external-scaler-7566d66c5d-5pbwr,7m,11Mi
2024-06-02T14:43:36,keda,keda-add-ons-http-external-scaler-7566d66c5d-74jcb,3m,10Mi
2024-06-02T14:43:36,keda,keda-add-ons-http-external-scaler-7566d66c5d-bqpcw,4m,10Mi
2024-06-02T14:43:36,keda,keda-add-ons-http-interceptor-896d565d6-7m9b8,3m,9Mi
2024-06-02T14:43:36,keda,keda-add-ons-http-interceptor-896d565d6-nrqsf,4m,9Mi
2024-06-02T14:43:36,keda,keda-add-ons-http-interceptor-896d565d6-zqpgm,3m,9Mi
2024-06-02T14:43:36,keda,keda-admission-webhooks-554fc8d77f-kdp9g,1m,8Mi
2024-06-02T14:43:36,keda,keda-operator-dd878ddf6-kwzxq,6m,31Mi
2024-06-02T14:43:36,keda,keda-operator-metrics-apiserver-86cc9c6fff-5vmcz,3m,26Mi
2024-06-02T14:44:06,keda,keda-add-ons-http-controller-manager-8545f7989c-z252r,2m,18Mi
2024-06-02T14:44:06,keda,keda-add-ons-http-external-scaler-7566d66c5d-5pbwr,7m,11Mi
2024-06-02T14:44:06,keda,keda-add-ons-http-external-scaler-7566d66c5d-74jcb,4m,10Mi
2024-06-02T14:44:06,keda,keda-add-ons-http-external-scaler-7566d66c5d-bqpcw,4m,10Mi
2024-06-02T14:44:06,keda,keda-add-ons-http-interceptor-896d565d6-7m9b8,3m,9Mi
2024-06-02T14:44:06,keda,keda-add-ons-http-interceptor-896d565d6-nrqsf,4m,9Mi
2024-06-02T14:44:06,keda,keda-add-ons-http-interceptor-896d565d6-zqpgm,3m,9Mi
2024-06-02T14:44:06,keda,keda-admission-webhooks-554fc8d77f-kdp9g,1m,8Mi
2024-06-02T14:44:06,keda,keda-operator-dd878ddf6-kwzxq,5m,31Mi
2024-06-02T14:44:06,keda,keda-operator-metrics-apiserver-86cc9c6fff-5vmcz,3m,26Mi
2024-06-02T14:44:36,keda,keda-add-ons-http-controller-manager-8545f7989c-z252r,2m,18Mi
2024-06-02T14:44:36,keda,keda-add-ons-http-external-scaler-7566d66c5d-5pbwr,7m,11Mi
2024-06-02T14:44:36,keda,keda-add-ons-http-external-scaler-7566d66c5d-74jcb,4m,10Mi
2024-06-02T14:44:36,keda,keda-add-ons-http-external-scaler-7566d66c5d-bqpcw,4m,11Mi
2024-06-02T14:44:36,keda,keda-add-ons-http-interceptor-896d565d6-7m9b8,3m,9Mi
2024-06-02T14:44:36,keda,keda-add-ons-http-interceptor-896d565d6-nrqsf,4m,9Mi
2024-06-02T14:44:36,keda,keda-add-ons-http-interceptor-896d565d6-zqpgm,3m,9Mi
2024-06-02T14:44:36,keda,keda-admission-webhooks-554fc8d77f-kdp9g,1m,8Mi
2024-06-02T14:44:36,keda,keda-operator-dd878ddf6-kwzxq,6m,31Mi
2024-06-02T14:44:36,keda,keda-operator-metrics-apiserver-86cc9c6fff-5vmcz,3m,26Mi
