timestamp,namespace,pod,cpu_usage,memory_usage
2024-05-29T22:11:15,knative-serving,3scale-kourier-gateway-75f4757658-hcmq6,469m,17Mi
2024-05-29T22:11:15,knative-serving,activator-55d856fccd-tkkxf,362m,41Mi
2024-05-29T22:11:15,knative-serving,autoscaler-5df8b7c68-5jw89,8m,17Mi
2024-05-29T22:11:15,knative-serving,autoscaler-hpa-56d9b7ccbc-c59bc,1m,11Mi
2024-05-29T22:11:15,knative-serving,controller-78b7976cc6-lbbgq,8m,24Mi
2024-05-29T22:11:15,knative-serving,net-kourier-controller-7875894b5c-jkt7d,3m,20Mi
2024-05-29T22:11:15,knative-serving,webhook-7c7b4cd674-kxvjh,5m,16Mi
2024-05-29T22:11:15,knative-operator,knative-operator-57b95565df-k747z,3m,22Mi
2024-05-29T22:11:15,knative-operator,operator-webhook-5b5f7f8b5-qvd2t,2m,23Mi
2024-05-29T22:11:45,knative-serving,3scale-kourier-gateway-75f4757658-4bbzh,9m,15Mi
2024-05-29T22:11:45,knative-serving,3scale-kourier-gateway-75f4757658-hcmq6,538m,18Mi
2024-05-29T22:11:45,knative-serving,3scale-kourier-gateway-75f4757658-xhzbc,8m,15Mi
2024-05-29T22:11:45,knative-serving,activator-55d856fccd-tkkxf,402m,42Mi
2024-05-29T22:11:45,knative-serving,activator-55d856fccd-vj8v4,362m,38Mi
2024-05-29T22:11:45,knative-serving,autoscaler-5df8b7c68-5jw89,4m,17Mi
2024-05-29T22:11:45,knative-serving,autoscaler-hpa-56d9b7ccbc-c59bc,1m,11Mi
2024-05-29T22:11:45,knative-serving,controller-78b7976cc6-lbbgq,3m,24Mi
2024-05-29T22:11:45,knative-serving,net-kourier-controller-7875894b5c-jkt7d,3m,21Mi
2024-05-29T22:11:45,knative-serving,webhook-7c7b4cd674-kxvjh,6m,16Mi
2024-05-29T22:11:45,knative-operator,knative-operator-57b95565df-k747z,24m,29Mi
2024-05-29T22:11:45,knative-operator,operator-webhook-5b5f7f8b5-qvd2t,2m,23Mi
2024-05-29T22:12:15,knative-serving,3scale-kourier-gateway-75f4757658-4bbzh,2m,15Mi
2024-05-29T22:12:15,knative-serving,3scale-kourier-gateway-75f4757658-hcmq6,459m,18Mi
2024-05-29T22:12:15,knative-serving,3scale-kourier-gateway-75f4757658-xhzbc,2m,15Mi
2024-05-29T22:12:15,knative-serving,activator-55d856fccd-tkkxf,254m,42Mi
2024-05-29T22:12:15,knative-serving,activator-55d856fccd-vj8v4,249m,39Mi
2024-05-29T22:12:15,knative-serving,autoscaler-5df8b7c68-5jw89,4m,17Mi
2024-05-29T22:12:15,knative-serving,autoscaler-hpa-56d9b7ccbc-c59bc,1m,11Mi
2024-05-29T22:12:15,knative-serving,controller-78b7976cc6-lbbgq,2m,24Mi
2024-05-29T22:12:15,knative-serving,net-kourier-controller-7875894b5c-jkt7d,1m,21Mi
2024-05-29T22:12:15,knative-serving,webhook-7c7b4cd674-kxvjh,7m,16Mi
2024-05-29T22:12:15,knative-operator,knative-operator-57b95565df-k747z,26m,27Mi
2024-05-29T22:12:15,knative-operator,operator-webhook-5b5f7f8b5-qvd2t,3m,23Mi
2024-05-29T22:12:45,knative-serving,3scale-kourier-gateway-75f4757658-4bbzh,2m,15Mi
2024-05-29T22:12:45,knative-serving,3scale-kourier-gateway-75f4757658-hcmq6,456m,18Mi
2024-05-29T22:12:45,knative-serving,3scale-kourier-gateway-75f4757658-xhzbc,3m,15Mi
2024-05-29T22:12:45,knative-serving,activator-55d856fccd-tkkxf,259m,42Mi
2024-05-29T22:12:45,knative-serving,activator-55d856fccd-vj8v4,393m,39Mi
2024-05-29T22:12:45,knative-serving,autoscaler-5df8b7c68-5jw89,3m,17Mi
2024-05-29T22:12:45,knative-serving,autoscaler-hpa-56d9b7ccbc-c59bc,1m,11Mi
2024-05-29T22:12:45,knative-serving,controller-78b7976cc6-lbbgq,2m,24Mi
2024-05-29T22:12:45,knative-serving,net-kourier-controller-7875894b5c-jkt7d,1m,21Mi
2024-05-29T22:12:45,knative-serving,webhook-7c7b4cd674-kxvjh,3m,16Mi
2024-05-29T22:12:45,knative-operator,knative-operator-57b95565df-k747z,1m,27Mi
2024-05-29T22:12:45,knative-operator,operator-webhook-5b5f7f8b5-qvd2t,3m,23Mi
2024-05-29T22:13:15,knative-serving,3scale-kourier-gateway-75f4757658-4bbzh,3m,15Mi
2024-05-29T22:13:15,knative-serving,3scale-kourier-gateway-75f4757658-hcmq6,455m,19Mi
2024-05-29T22:13:15,knative-serving,3scale-kourier-gateway-75f4757658-xhzbc,3m,15Mi
2024-05-29T22:13:15,knative-serving,activator-55d856fccd-tkkxf,256m,42Mi
2024-05-29T22:13:15,knative-serving,activator-55d856fccd-vj8v4,447m,39Mi
2024-05-29T22:13:15,knative-serving,autoscaler-5df8b7c68-5jw89,4m,17Mi
2024-05-29T22:13:15,knative-serving,autoscaler-hpa-56d9b7ccbc-c59bc,1m,11Mi
2024-05-29T22:13:15,knative-serving,controller-78b7976cc6-lbbgq,3m,24Mi
2024-05-29T22:13:15,knative-serving,net-kourier-controller-7875894b5c-jkt7d,1m,21Mi
2024-05-29T22:13:15,knative-serving,webhook-7c7b4cd674-kxvjh,3m,16Mi
2024-05-29T22:13:15,knative-operator,knative-operator-57b95565df-k747z,1m,27Mi
2024-05-29T22:13:15,knative-operator,operator-webhook-5b5f7f8b5-qvd2t,3m,23Mi
2024-05-29T22:13:45,knative-serving,3scale-kourier-gateway-75f4757658-4bbzh,2m,15Mi
2024-05-29T22:13:45,knative-serving,3scale-kourier-gateway-75f4757658-hcmq6,465m,19Mi
2024-05-29T22:13:45,knative-serving,3scale-kourier-gateway-75f4757658-xhzbc,3m,15Mi
2024-05-29T22:13:45,knative-serving,activator-55d856fccd-9v6fk,354m,36Mi
2024-05-29T22:13:45,knative-serving,activator-55d856fccd-tkkxf,203m,42Mi
2024-05-29T22:13:45,knative-serving,activator-55d856fccd-vj8v4,319m,39Mi
2024-05-29T22:13:45,knative-serving,autoscaler-5df8b7c68-5jw89,3m,17Mi
2024-05-29T22:13:45,knative-serving,autoscaler-hpa-56d9b7ccbc-c59bc,1m,12Mi
2024-05-29T22:13:45,knative-serving,controller-78b7976cc6-lbbgq,3m,24Mi
2024-05-29T22:13:45,knative-serving,net-kourier-controller-7875894b5c-jkt7d,1m,21Mi
2024-05-29T22:13:45,knative-serving,webhook-7c7b4cd674-kxvjh,7m,16Mi
2024-05-29T22:13:45,knative-operator,knative-operator-57b95565df-k747z,17m,27Mi
2024-05-29T22:13:45,knative-operator,operator-webhook-5b5f7f8b5-qvd2t,3m,23Mi
2024-05-29T22:14:15,knative-serving,3scale-kourier-gateway-75f4757658-4bbzh,2m,15Mi
2024-05-29T22:14:15,knative-serving,3scale-kourier-gateway-75f4757658-hcmq6,534m,19Mi
2024-05-29T22:14:15,knative-serving,3scale-kourier-gateway-75f4757658-xhzbc,2m,15Mi
2024-05-29T22:14:15,knative-serving,activator-55d856fccd-9v6fk,351m,37Mi
2024-05-29T22:14:15,knative-serving,activator-55d856fccd-tkkxf,216m,42Mi
2024-05-29T22:14:15,knative-serving,activator-55d856fccd-vj8v4,325m,39Mi
2024-05-29T22:14:15,knative-serving,autoscaler-5df8b7c68-5jw89,6m,17Mi
2024-05-29T22:14:15,knative-serving,autoscaler-hpa-56d9b7ccbc-c59bc,1m,12Mi
2024-05-29T22:14:15,knative-serving,controller-78b7976cc6-lbbgq,4m,24Mi
2024-05-29T22:14:15,knative-serving,net-kourier-controller-7875894b5c-jkt7d,3m,22Mi
2024-05-29T22:14:15,knative-serving,webhook-7c7b4cd674-kxvjh,3m,16Mi
2024-05-29T22:14:15,knative-operator,knative-operator-57b95565df-k747z,1m,27Mi
2024-05-29T22:14:15,knative-operator,operator-webhook-5b5f7f8b5-qvd2t,3m,23Mi
2024-05-29T22:14:46,knative-serving,3scale-kourier-gateway-75f4757658-4bbzh,3m,15Mi
2024-05-29T22:14:46,knative-serving,3scale-kourier-gateway-75f4757658-hcmq6,470m,19Mi
2024-05-29T22:14:46,knative-serving,3scale-kourier-gateway-75f4757658-xhzbc,2m,15Mi
2024-05-29T22:14:46,knative-serving,activator-55d856fccd-9v6fk,347m,37Mi
2024-05-29T22:14:46,knative-serving,activator-55d856fccd-tkkxf,203m,42Mi
2024-05-29T22:14:46,knative-serving,activator-55d856fccd-vj8v4,320m,39Mi
2024-05-29T22:14:46,knative-serving,autoscaler-5df8b7c68-5jw89,4m,17Mi
2024-05-29T22:14:46,knative-serving,autoscaler-hpa-56d9b7ccbc-c59bc,1m,12Mi
2024-05-29T22:14:46,knative-serving,controller-78b7976cc6-lbbgq,2m,24Mi
2024-05-29T22:14:46,knative-serving,net-kourier-controller-7875894b5c-jkt7d,2m,22Mi
2024-05-29T22:14:46,knative-serving,webhook-7c7b4cd674-kxvjh,3m,16Mi
2024-05-29T22:14:46,knative-operator,knative-operator-57b95565df-k747z,1m,25Mi
