timestamp,namespace,pod,cpu_usage,memory_usage
2024-06-02T13:36:02,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,63m,18Mi
2024-06-02T13:36:02,knative-serving,activator-55d856fccd-qvr7m,114m,78Mi
2024-06-02T13:36:02,knative-serving,autoscaler-5df8b7c68-vl5zb,2m,56Mi
2024-06-02T13:36:02,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,2m,15Mi
2024-06-02T13:36:02,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:36:02,knative-serving,net-kourier-controller-7875894b5c-wn8p2,2m,24Mi
2024-06-02T13:36:02,knative-serving,webhook-7c7b4cd674-9zjs4,5m,20Mi
2024-06-02T13:36:02,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:36:02,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:36:32,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,532m,18Mi
2024-06-02T13:36:32,knative-serving,3scale-kourier-gateway-75f4757658-jz95f,10m,56Mi
2024-06-02T13:36:32,knative-serving,3scale-kourier-gateway-75f4757658-vfhvl,10m,56Mi
2024-06-02T13:36:32,knative-serving,activator-55d856fccd-qvr7m,538m,79Mi
2024-06-02T13:36:32,knative-serving,autoscaler-5df8b7c68-vl5zb,4m,56Mi
2024-06-02T13:36:32,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:36:32,knative-serving,controller-78b7976cc6-49kvb,7m,30Mi
2024-06-02T13:36:32,knative-serving,net-kourier-controller-7875894b5c-wn8p2,3m,25Mi
2024-06-02T13:36:32,knative-serving,webhook-7c7b4cd674-9zjs4,5m,20Mi
2024-06-02T13:36:32,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:36:32,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,2m,26Mi
2024-06-02T13:37:02,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,925m,18Mi
2024-06-02T13:37:02,knative-serving,3scale-kourier-gateway-75f4757658-jz95f,2m,56Mi
2024-06-02T13:37:02,knative-serving,3scale-kourier-gateway-75f4757658-kp2xr,10m,15Mi
2024-06-02T13:37:02,knative-serving,3scale-kourier-gateway-75f4757658-vfhvl,2m,56Mi
2024-06-02T13:37:02,knative-serving,activator-55d856fccd-bb9g6,477m,42Mi
2024-06-02T13:37:02,knative-serving,activator-55d856fccd-qvr7m,413m,79Mi
2024-06-02T13:37:02,knative-serving,autoscaler-5df8b7c68-vl5zb,6m,56Mi
2024-06-02T13:37:02,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:37:02,knative-serving,controller-78b7976cc6-49kvb,4m,30Mi
2024-06-02T13:37:02,knative-serving,net-kourier-controller-7875894b5c-wn8p2,3m,26Mi
2024-06-02T13:37:02,knative-serving,webhook-7c7b4cd674-9zjs4,7m,20Mi
2024-06-02T13:37:02,knative-operator,knative-operator-57b95565df-2pnbg,31m,31Mi
2024-06-02T13:37:02,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:37:33,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,900m,19Mi
2024-06-02T13:37:33,knative-serving,3scale-kourier-gateway-75f4757658-jz95f,2m,56Mi
2024-06-02T13:37:33,knative-serving,3scale-kourier-gateway-75f4757658-kp2xr,2m,15Mi
2024-06-02T13:37:33,knative-serving,3scale-kourier-gateway-75f4757658-l4fn9,2m,15Mi
2024-06-02T13:37:33,knative-serving,3scale-kourier-gateway-75f4757658-vfhvl,2m,57Mi
2024-06-02T13:37:33,knative-serving,activator-55d856fccd-bb9g6,421m,41Mi
2024-06-02T13:37:33,knative-serving,activator-55d856fccd-qvr7m,364m,78Mi
2024-06-02T13:37:33,knative-serving,activator-55d856fccd-sv9n9,359m,38Mi
2024-06-02T13:37:33,knative-serving,autoscaler-5df8b7c68-vl5zb,4m,56Mi
2024-06-02T13:37:33,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:37:33,knative-serving,controller-78b7976cc6-49kvb,4m,30Mi
2024-06-02T13:37:33,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,27Mi
2024-06-02T13:37:33,knative-serving,webhook-7c7b4cd674-9zjs4,6m,20Mi
2024-06-02T13:37:33,knative-operator,knative-operator-57b95565df-2pnbg,27m,30Mi
2024-06-02T13:37:33,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:38:02,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,914m,19Mi
2024-06-02T13:38:02,knative-serving,3scale-kourier-gateway-75f4757658-jz95f,2m,57Mi
2024-06-02T13:38:02,knative-serving,3scale-kourier-gateway-75f4757658-kp2xr,2m,15Mi
2024-06-02T13:38:02,knative-serving,3scale-kourier-gateway-75f4757658-l4fn9,2m,15Mi
2024-06-02T13:38:02,knative-serving,3scale-kourier-gateway-75f4757658-vfhvl,2m,57Mi
2024-06-02T13:38:02,knative-serving,activator-55d856fccd-bb9g6,421m,41Mi
2024-06-02T13:38:02,knative-serving,activator-55d856fccd-qvr7m,376m,78Mi
2024-06-02T13:38:02,knative-serving,activator-55d856fccd-rsbp6,379m,38Mi
2024-06-02T13:38:02,knative-serving,activator-55d856fccd-sv9n9,1m,39Mi
2024-06-02T13:38:02,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,56Mi
2024-06-02T13:38:02,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:38:02,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:38:02,knative-serving,net-kourier-controller-7875894b5c-wn8p2,2m,28Mi
2024-06-02T13:38:02,knative-serving,webhook-7c7b4cd674-9zjs4,6m,20Mi
2024-06-02T13:38:02,knative-operator,knative-operator-57b95565df-2pnbg,15m,30Mi
2024-06-02T13:38:02,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:38:32,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,938m,19Mi
2024-06-02T13:38:32,knative-serving,3scale-kourier-gateway-75f4757658-jz95f,2m,57Mi
2024-06-02T13:38:32,knative-serving,3scale-kourier-gateway-75f4757658-kp2xr,2m,15Mi
