timestamp,namespace,pod,cpu_usage,memory_usage
2024-06-02T13:24:25,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:24:25,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:24:25,knative-serving,autoscaler-5df8b7c68-vl5zb,2m,56Mi
2024-06-02T13:24:25,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:24:25,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:24:25,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,25Mi
2024-06-02T13:24:25,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:24:25,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:24:25,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:24:55,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:24:55,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:24:55,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,56Mi
2024-06-02T13:24:55,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:24:55,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:24:55,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,25Mi
2024-06-02T13:24:55,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:24:55,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:24:55,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:25:25,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:25:25,knative-serving,activator-55d856fccd-qvr7m,1m,48Mi
2024-06-02T13:25:25,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,56Mi
2024-06-02T13:25:25,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:25:25,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:25:25,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,25Mi
2024-06-02T13:25:25,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:25:26,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:25:26,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:25:55,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,2m,17Mi
2024-06-02T13:25:55,knative-serving,activator-55d856fccd-qvr7m,1m,48Mi
2024-06-02T13:25:55,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,56Mi
2024-06-02T13:25:55,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:25:55,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:25:55,knative-serving,net-kourier-controller-7875894b5c-wn8p2,2m,24Mi
2024-06-02T13:25:55,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:25:55,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:25:55,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:26:25,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:26:25,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:26:25,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,56Mi
2024-06-02T13:26:25,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:26:25,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:26:25,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:26:25,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:26:25,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:26:25,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:26:55,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:26:55,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:26:55,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,56Mi
2024-06-02T13:26:55,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:26:55,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:26:55,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:26:55,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:26:55,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:26:55,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:27:25,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:27:25,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:27:25,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,56Mi
2024-06-02T13:27:25,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:27:25,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:27:25,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:27:25,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:27:25,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:27:25,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:27:55,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:27:55,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:27:55,knative-serving,autoscaler-5df8b7c68-vl5zb,2m,56Mi
2024-06-02T13:27:55,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:27:55,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:27:55,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:27:55,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:27:55,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:27:55,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:28:25,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:28:25,knative-serving,activator-55d856fccd-qvr7m,1m,48Mi
2024-06-02T13:28:25,knative-serving,autoscaler-5df8b7c68-vl5zb,2m,56Mi
2024-06-02T13:28:25,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:28:25,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:28:25,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:28:25,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:28:25,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:28:25,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:28:55,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:28:55,knative-serving,activator-55d856fccd-qvr7m,1m,48Mi
2024-06-02T13:28:55,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,56Mi
2024-06-02T13:28:55,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:28:55,knative-serving,controller-78b7976cc6-49kvb,4m,30Mi
2024-06-02T13:28:55,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:28:55,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:28:55,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:28:55,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:29:25,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:29:25,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:29:25,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,56Mi
2024-06-02T13:29:25,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:29:25,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:29:25,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:29:25,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:29:26,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:29:26,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:29:55,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:29:55,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:29:55,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,56Mi
2024-06-02T13:29:55,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:29:55,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:29:55,knative-serving,net-kourier-controller-7875894b5c-wn8p2,2m,24Mi
2024-06-02T13:29:55,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:29:55,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:29:55,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:30:25,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:30:25,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:30:25,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,56Mi
2024-06-02T13:30:25,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:30:25,knative-serving,controller-78b7976cc6-49kvb,4m,30Mi
2024-06-02T13:30:25,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:30:25,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:30:25,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:30:25,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:30:55,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:30:55,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:30:55,knative-serving,autoscaler-5df8b7c68-vl5zb,2m,56Mi
2024-06-02T13:30:55,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:30:55,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:30:55,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:30:55,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:30:55,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:30:55,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:31:25,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:31:25,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:31:25,knative-serving,autoscaler-5df8b7c68-vl5zb,2m,56Mi
2024-06-02T13:31:25,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:31:25,knative-serving,controller-78b7976cc6-49kvb,4m,30Mi
2024-06-02T13:31:25,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:31:25,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:31:25,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:31:25,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:31:55,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:31:55,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:31:55,knative-serving,autoscaler-5df8b7c68-vl5zb,2m,56Mi
2024-06-02T13:31:55,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:31:55,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:31:55,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:31:55,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:31:55,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:31:55,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:32:25,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:32:25,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:32:25,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,56Mi
2024-06-02T13:32:25,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:32:25,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:32:25,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:32:25,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:32:25,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:32:25,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:32:55,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:32:55,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
2024-06-02T13:32:55,knative-serving,autoscaler-5df8b7c68-vl5zb,2m,56Mi
2024-06-02T13:32:55,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:32:55,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:32:55,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:32:55,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:32:55,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:32:55,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:33:25,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:33:25,knative-serving,activator-55d856fccd-qvr7m,1m,48Mi
2024-06-02T13:33:25,knative-serving,autoscaler-5df8b7c68-vl5zb,2m,56Mi
2024-06-02T13:33:25,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,15Mi
2024-06-02T13:33:25,knative-serving,controller-78b7976cc6-49kvb,3m,30Mi
2024-06-02T13:33:25,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,24Mi
2024-06-02T13:33:25,knative-serving,webhook-7c7b4cd674-9zjs4,3m,20Mi
2024-06-02T13:33:25,knative-operator,knative-operator-57b95565df-2pnbg,2m,25Mi
2024-06-02T13:33:25,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,26Mi
2024-06-02T13:33:55,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,17Mi
2024-06-02T13:33:55,knative-serving,activator-55d856fccd-qvr7m,2m,48Mi
