timestamp,namespace,pod,cpu_usage,memory_usage
2024-06-13T01:59:27,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,45Mi
2024-06-13T01:59:29,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T01:59:31,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:59:57,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,45Mi
2024-06-13T01:59:59,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:00:00,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:00:27,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,45Mi
2024-06-13T02:00:29,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:00:31,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:00:57,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,45Mi
2024-06-13T02:00:59,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:01:01,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:01:26,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,45Mi
2024-06-13T02:01:28,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:01:30,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:01:57,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,45Mi
2024-06-13T02:01:59,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:02:01,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:02:27,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,45Mi
2024-06-13T02:02:28,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:02:30,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:02:57,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,45Mi
2024-06-13T02:02:59,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:03:01,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:03:27,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,45Mi
2024-06-13T02:03:29,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:03:30,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:03:57,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,45Mi
2024-06-13T02:03:59,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:04:01,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:04:27,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:04:29,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:04:31,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:04:56,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:04:58,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:05:00,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:05:27,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:05:29,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:05:31,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:05:57,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:05:58,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:06:00,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:06:27,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:06:29,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:06:30,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:06:57,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:06:59,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:07:01,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:07:27,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:07:29,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:07:31,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:07:56,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:07:58,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:08:00,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:08:27,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:08:29,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:08:31,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T02:08:57,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T02:08:58,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
