timestamp,namespace,pod,cpu_usage,memory_usage
2024-06-13T01:40:58,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:41:00,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:41:02,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:41:28,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:41:30,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:41:32,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:41:57,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:41:59,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:42:01,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:42:28,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:42:30,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:42:32,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:42:58,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:42:59,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:43:01,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:43:28,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:43:30,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:43:31,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:43:58,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,44Mi
2024-06-13T01:44:00,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,43Mi
2024-06-13T01:44:02,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,43Mi
