timestamp,namespace,pod,cpu_usage,memory_usage
2024-06-13T01:23:02,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.30m,4Mi
2024-06-13T01:23:04,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:23:06,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:23:32,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.60m,4Mi
2024-06-13T01:23:33,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:23:35,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:24:02,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:24:04,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:24:06,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:24:32,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:24:34,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:24:36,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:25:01,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,4Mi
2024-06-13T01:25:03,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:25:05,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:25:32,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.60m,5Mi
2024-06-13T01:25:34,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:25:36,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:26:02,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.40m,6Mi
2024-06-13T01:26:03,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:26:05,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:26:32,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,6Mi
2024-06-13T01:26:34,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:26:36,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:27:02,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.20m,6Mi
2024-06-13T01:27:04,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:27:05,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:27:32,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,6Mi
2024-06-13T01:27:34,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,4Mi
