timestamp,namespace,pod,cpu_usage,memory_usage
2024-06-13T01:10:59,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.70m,3Mi
2024-06-13T01:11:01,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:11:03,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:11:28,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:11:30,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:11:32,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:11:59,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:12:01,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:12:03,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:12:29,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:12:31,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:12:32,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:12:59,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:13:01,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:13:03,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:13:29,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:13:31,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:13:33,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:13:58,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:14:00,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:14:02,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:14:29,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:14:31,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:14:33,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:14:59,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:15:00,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:15:02,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:15:29,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:15:31,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:15:33,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:15:59,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:16:01,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:16:02,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:16:29,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:16:31,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:16:33,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:16:59,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:17:01,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:17:03,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:17:28,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:17:30,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:17:32,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:17:59,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
2024-06-13T01:18:01,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:18:03,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,0m,3Mi
2024-06-13T01:18:29,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,0m,4Mi
