autoscaler,pod_name
HPA,metrics-server-658f8d9ccf-bjsbk
KEDA,keda-add-ons-http-controller-manager-8545f7989c-z252r
KEDA,keda-add-ons-http-external-scaler-7566d66c5d-5pbwr
KEDA,keda-add-ons-http-external-scaler-7566d66c5d-74jcb
KEDA,keda-add-ons-http-external-scaler-7566d66c5d-bqpcw
KEDA,keda-add-ons-http-interceptor-896d565d6-7m9b8
KEDA,keda-add-ons-http-interceptor-896d565d6-nrqsf
KEDA,keda-add-ons-http-interceptor-896d565d6-zqpgm
KEDA,keda-admission-webhooks-554fc8d77f-kdp9g
KEDA,keda-operator-dd878ddf6-kwzxq
KEDA,keda-operator-metrics-apiserver-86cc9c6fff-5vmcz
Knative,3scale-kourier-gateway-75f4757658-hvl65
Knative,activator-55d856fccd-qvr7m
Knative,autoscaler-5df8b7c68-vl5zb
Knative,autoscaler-hpa-56d9b7ccbc-8f6bl
Knative,controller-78b7976cc6-49kvb
Knative,net-kourier-controller-7875894b5c-wn8p2
Knative,webhook-7c7b4cd674-9zjs4
Knative,knative-operator-57b95565df-2pnbg
Knative,operator-webhook-5b5f7f8b5-bs5n6
Knative,3scale-kourier-gateway-75f4757658-jz95f
Knative,3scale-kourier-gateway-75f4757658-vfhvl
Knative,3scale-kourier-gateway-75f4757658-kp2xr
Knative,activator-55d856fccd-bb9g6
Knative,3scale-kourier-gateway-75f4757658-l4fn9
Knative,activator-55d856fccd-sv9n9
Knative,activator-55d856fccd-rsbp6
Reflex,swarm-vm1-autoscaler-swarm-autoscaler-1
Reflex,swarm-vm2-autoscaler-swarm-autoscaler-1
Reflex,swarm-vm3-autoscaler-swarm-autoscaler-1
