timestamp,host,container_id,cpu_usage,memory_usage
2024-05-30T23:05:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.05%,44.86MiB / 7.756GiB
2024-05-30T23:05:35,swarm-vm2,autoscaler-swarm-autoscaler-1,0.09%,43.85MiB / 7.756GiB
2024-05-30T23:05:37,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,43.84MiB / 7.756GiB
2024-05-30T23:06:03,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,44.86MiB / 7.756GiB
2024-05-30T23:06:05,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.85MiB / 7.756GiB
2024-05-30T23:06:07,swarm-vm3,autoscaler-swarm-autoscaler-1,0.09%,43.84MiB / 7.756GiB
2024-05-30T23:06:32,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,44.86MiB / 7.756GiB
2024-05-30T23:06:34,swarm-vm2,autoscaler-swarm-autoscaler-1,0.10%,43.85MiB / 7.756GiB
2024-05-30T23:06:36,swarm-vm3,autoscaler-swarm-autoscaler-1,0.10%,43.84MiB / 7.756GiB
2024-05-30T23:07:03,swarm-vm1,autoscaler-swarm-autoscaler-1,0.10%,44.86MiB / 7.756GiB
2024-05-30T23:07:05,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.85MiB / 7.756GiB
2024-05-30T23:07:07,swarm-vm3,autoscaler-swarm-autoscaler-1,0.09%,43.84MiB / 7.756GiB
2024-05-30T23:07:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.10%,44.86MiB / 7.756GiB
2024-05-30T23:07:34,swarm-vm2,autoscaler-swarm-autoscaler-1,0.14%,43.85MiB / 7.756GiB
2024-05-30T23:07:36,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,43.84MiB / 7.756GiB
2024-05-30T23:08:03,swarm-vm1,autoscaler-swarm-autoscaler-1,0.05%,44.86MiB / 7.756GiB
2024-05-30T23:08:05,swarm-vm2,autoscaler-swarm-autoscaler-1,0.03%,43.85MiB / 7.756GiB
2024-05-30T23:08:06,swarm-vm3,autoscaler-swarm-autoscaler-1,0.05%,43.84MiB / 7.756GiB
2024-05-30T23:08:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.11%,44.86MiB / 7.756GiB
2024-05-30T23:08:35,swarm-vm2,autoscaler-swarm-autoscaler-1,0.10%,43.85MiB / 7.756GiB
2024-05-30T23:08:37,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,43.84MiB / 7.756GiB
2024-05-30T23:09:03,swarm-vm1,autoscaler-swarm-autoscaler-1,0.10%,44.86MiB / 7.756GiB
2024-05-30T23:09:05,swarm-vm2,autoscaler-swarm-autoscaler-1,0.08%,43.85MiB / 7.756GiB
2024-05-30T23:09:06,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,43.84MiB / 7.756GiB
2024-05-30T23:09:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.17%,44.86MiB / 7.756GiB
