timestamp,namespace,pod,cpu_usage,memory_usage
2024-05-30T23:17:14,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.60m,45Mi
2024-05-30T23:17:16,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-05-30T23:17:18,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.40m,44Mi
2024-05-30T23:17:43,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.30m,45Mi
2024-05-30T23:17:45,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.00m,44Mi
2024-05-30T23:17:47,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-30T23:18:14,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.80m,45Mi
2024-05-30T23:18:16,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-05-30T23:18:18,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-30T23:18:44,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.70m,45Mi
2024-05-30T23:18:45,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-30T23:18:47,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.00m,44Mi
2024-05-30T23:19:14,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.00m,45Mi
2024-05-30T23:19:16,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-30T23:19:18,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.60m,44Mi
2024-05-30T23:19:44,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.80m,45Mi
2024-05-30T23:19:46,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-05-30T23:19:47,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.00m,44Mi
2024-05-30T23:20:14,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.80m,45Mi
2024-05-30T23:20:16,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.00m,44Mi
2024-05-30T23:20:18,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-30T23:20:44,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.80m,45Mi
2024-05-30T23:20:46,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-05-30T23:20:48,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.00m,44Mi
2024-05-30T23:21:13,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.80m,45Mi
2024-05-30T23:21:15,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-30T23:21:17,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-30T23:21:44,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.00m,45Mi
2024-05-30T23:21:46,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-05-30T23:21:48,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-30T23:22:14,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.30m,45Mi
2024-05-30T23:22:15,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-05-30T23:22:17,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-30T23:22:44,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.20m,45Mi
2024-05-30T23:22:46,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.10m,44Mi
2024-05-30T23:22:48,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.00m,44Mi
2024-05-30T23:23:14,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.80m,45Mi
2024-05-30T23:23:16,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.70m,44Mi
2024-05-30T23:23:17,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-05-30T23:23:44,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.50m,45Mi
2024-05-30T23:23:46,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-30T23:23:49,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.00m,44Mi
2024-05-30T23:24:13,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.90m,45Mi
2024-05-30T23:24:15,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.00m,44Mi
2024-05-30T23:24:17,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.10m,44Mi
2024-05-30T23:24:44,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.90m,45Mi
2024-05-30T23:24:45,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-30T23:24:47,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.10m,44Mi
2024-05-30T23:25:14,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.40m,45Mi
2024-05-30T23:25:16,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-30T23:25:18,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
