timestamp,host,container_id,cpu_usage,memory_usage
2024-05-29T22:51:26,swarm-vm1,autoscaler-swarm-autoscaler-1,0.15%,44.95MiB / 7.756GiB
2024-05-29T22:51:28,swarm-vm2,autoscaler-swarm-autoscaler-1,0.05%,44.29MiB / 7.756GiB
2024-05-29T22:51:30,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.07MiB / 7.756GiB
2024-05-29T22:52:02,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,44.95MiB / 7.756GiB
2024-05-29T22:52:03,swarm-vm2,autoscaler-swarm-autoscaler-1,0.09%,44.29MiB / 7.756GiB
2024-05-29T22:52:05,swarm-vm3,autoscaler-swarm-autoscaler-1,0.09%,44.08MiB / 7.756GiB
2024-05-29T22:52:37,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,44.95MiB / 7.756GiB
2024-05-29T22:52:39,swarm-vm2,autoscaler-swarm-autoscaler-1,0.15%,44.29MiB / 7.756GiB
2024-05-29T22:52:41,swarm-vm3,autoscaler-swarm-autoscaler-1,0.07%,44.08MiB / 7.756GiB
2024-05-29T22:53:13,swarm-vm1,autoscaler-swarm-autoscaler-1,0.05%,44.95MiB / 7.756GiB
2024-05-29T22:53:15,swarm-vm2,autoscaler-swarm-autoscaler-1,0.05%,44.29MiB / 7.756GiB
2024-05-29T22:53:16,swarm-vm3,autoscaler-swarm-autoscaler-1,0.15%,44.08MiB / 7.756GiB
2024-05-29T22:53:48,swarm-vm1,autoscaler-swarm-autoscaler-1,0.05%,44.95MiB / 7.756GiB
2024-05-29T22:53:50,swarm-vm2,autoscaler-swarm-autoscaler-1,0.14%,44.29MiB / 7.756GiB
2024-05-29T22:53:52,swarm-vm3,autoscaler-swarm-autoscaler-1,0.13%,44.07MiB / 7.756GiB
2024-05-29T22:54:24,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,44.95MiB / 7.756GiB
2024-05-29T22:54:26,swarm-vm2,autoscaler-swarm-autoscaler-1,0.14%,44.29MiB / 7.756GiB
2024-05-29T22:54:28,swarm-vm3,autoscaler-swarm-autoscaler-1,0.09%,44.07MiB / 7.756GiB
2024-05-29T22:55:00,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,44.95MiB / 7.756GiB
2024-05-29T22:55:02,swarm-vm2,autoscaler-swarm-autoscaler-1,0.12%,44.29MiB / 7.756GiB
2024-05-29T22:55:04,swarm-vm3,autoscaler-swarm-autoscaler-1,0.09%,44.08MiB / 7.756GiB
2024-05-29T22:55:35,swarm-vm1,autoscaler-swarm-autoscaler-1,0.05%,44.95MiB / 7.756GiB
2024-05-29T22:55:37,swarm-vm2,autoscaler-swarm-autoscaler-1,0.09%,44.29MiB / 7.756GiB
2024-05-29T22:55:39,swarm-vm3,autoscaler-swarm-autoscaler-1,0.15%,44.08MiB / 7.756GiB
2024-05-29T22:56:11,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,44.95MiB / 7.756GiB
2024-05-29T22:56:13,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,44.29MiB / 7.756GiB
2024-05-29T22:56:15,swarm-vm3,autoscaler-swarm-autoscaler-1,0.09%,44.07MiB / 7.756GiB
2024-05-29T22:56:47,swarm-vm1,autoscaler-swarm-autoscaler-1,0.15%,44.95MiB / 7.756GiB
2024-05-29T22:56:48,swarm-vm2,autoscaler-swarm-autoscaler-1,0.09%,44.29MiB / 7.756GiB
2024-05-29T22:56:50,swarm-vm3,autoscaler-swarm-autoscaler-1,0.15%,44.08MiB / 7.756GiB
