timestamp,namespace,pod,cpu_usage,memory_usage
2024-05-29T22:51:26,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.50m,45Mi
2024-05-29T22:51:28,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-05-29T22:51:30,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-29T22:52:02,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-05-29T22:52:03,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-05-29T22:52:05,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-05-29T22:52:37,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-05-29T22:52:39,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.50m,44Mi
2024-05-29T22:52:41,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.70m,44Mi
2024-05-29T22:53:13,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.50m,45Mi
2024-05-29T22:53:15,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-05-29T22:53:16,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.50m,44Mi
2024-05-29T22:53:48,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.50m,45Mi
2024-05-29T22:53:50,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.40m,44Mi
2024-05-29T22:53:52,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.30m,44Mi
2024-05-29T22:54:24,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-05-29T22:54:26,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.40m,44Mi
2024-05-29T22:54:28,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-05-29T22:55:00,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-05-29T22:55:02,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.20m,44Mi
2024-05-29T22:55:04,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-05-29T22:55:35,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.50m,45Mi
2024-05-29T22:55:37,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-05-29T22:55:39,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.50m,44Mi
2024-05-29T22:56:11,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-05-29T22:56:13,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-05-29T22:56:15,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-05-29T22:56:47,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.50m,45Mi
2024-05-29T22:56:48,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-05-29T22:56:50,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.50m,44Mi
