timestamp,host,container_id,cpu_usage,memory_usage
2024-06-02T13:49:04,swarm-vm1,autoscaler-swarm-autoscaler-1,0.05%,46.55MiB / 7.756GiB
2024-06-02T13:49:05,swarm-vm2,autoscaler-swarm-autoscaler-1,0.05%,44.82MiB / 7.756GiB
2024-06-02T13:49:07,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.04MiB / 7.756GiB
2024-06-02T13:49:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.09%,46.91MiB / 7.756GiB
2024-06-02T13:49:35,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,45.03MiB / 7.756GiB
2024-06-02T13:49:37,swarm-vm3,autoscaler-swarm-autoscaler-1,0.16%,44.32MiB / 7.756GiB
2024-06-02T13:50:02,swarm-vm1,autoscaler-swarm-autoscaler-1,0.18%,46.93MiB / 7.756GiB
2024-06-02T13:50:04,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,45.09MiB / 7.756GiB
2024-06-02T13:50:06,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.47MiB / 7.756GiB
2024-06-02T13:50:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.08%,45.12MiB / 7.756GiB
2024-06-02T13:50:35,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.8MiB / 7.756GiB
2024-06-02T13:50:37,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.02MiB / 7.756GiB
2024-06-02T13:51:03,swarm-vm1,autoscaler-swarm-autoscaler-1,0.06%,45.13MiB / 7.756GiB
2024-06-02T13:51:05,swarm-vm2,autoscaler-swarm-autoscaler-1,0.05%,43.82MiB / 7.756GiB
2024-06-02T13:51:07,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.05MiB / 7.756GiB
2024-06-02T13:51:32,swarm-vm1,autoscaler-swarm-autoscaler-1,0.23%,45.12MiB / 7.756GiB
2024-06-02T13:51:34,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.82MiB / 7.756GiB
2024-06-02T13:51:36,swarm-vm3,autoscaler-swarm-autoscaler-1,0.05%,44.06MiB / 7.756GiB
2024-06-02T13:52:03,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.14MiB / 7.756GiB
2024-06-02T13:52:05,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.82MiB / 7.756GiB
2024-06-02T13:52:07,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.06MiB / 7.756GiB
2024-06-02T13:52:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.07%,44.94MiB / 7.756GiB
2024-06-02T13:52:35,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.76MiB / 7.756GiB
2024-06-02T13:52:36,swarm-vm3,autoscaler-swarm-autoscaler-1,0.06%,44.12MiB / 7.756GiB
2024-06-02T13:53:03,swarm-vm1,autoscaler-swarm-autoscaler-1,0.05%,44.94MiB / 7.756GiB
2024-06-02T13:53:05,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.76MiB / 7.756GiB
2024-06-02T13:53:07,swarm-vm3,autoscaler-swarm-autoscaler-1,0.05%,44.13MiB / 7.756GiB
2024-06-02T13:53:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.06%,44.95MiB / 7.756GiB
2024-06-02T13:53:35,swarm-vm2,autoscaler-swarm-autoscaler-1,0.08%,43.76MiB / 7.756GiB
2024-06-02T13:53:37,swarm-vm3,autoscaler-swarm-autoscaler-1,0.09%,44.14MiB / 7.756GiB
2024-06-02T13:54:02,swarm-vm1,autoscaler-swarm-autoscaler-1,0.06%,45MiB / 7.756GiB
2024-06-02T13:54:04,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.77MiB / 7.756GiB
2024-06-02T13:54:06,swarm-vm3,autoscaler-swarm-autoscaler-1,0.05%,44.14MiB / 7.756GiB
2024-06-02T13:54:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.06%,45.05MiB / 7.756GiB
2024-06-02T13:54:35,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.83MiB / 7.756GiB
2024-06-02T13:54:36,swarm-vm3,autoscaler-swarm-autoscaler-1,0.05%,43.97MiB / 7.756GiB
2024-06-02T13:55:03,swarm-vm1,autoscaler-swarm-autoscaler-1,0.07%,45.06MiB / 7.756GiB
2024-06-02T13:55:05,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.86MiB / 7.756GiB
2024-06-02T13:55:07,swarm-vm3,autoscaler-swarm-autoscaler-1,0.06%,43.97MiB / 7.756GiB
2024-06-02T13:55:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.05MiB / 7.756GiB
2024-06-02T13:55:35,swarm-vm2,autoscaler-swarm-autoscaler-1,0.10%,43.86MiB / 7.756GiB
2024-06-02T13:55:37,swarm-vm3,autoscaler-swarm-autoscaler-1,0.06%,43.97MiB / 7.756GiB
2024-06-02T13:56:03,swarm-vm1,autoscaler-swarm-autoscaler-1,0.11%,45.05MiB / 7.756GiB
2024-06-02T13:56:04,swarm-vm2,autoscaler-swarm-autoscaler-1,0.05%,43.86MiB / 7.756GiB
2024-06-02T13:56:06,swarm-vm3,autoscaler-swarm-autoscaler-1,0.07%,43.98MiB / 7.756GiB
2024-06-02T13:56:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.08%,45.06MiB / 7.756GiB
2024-06-02T13:56:35,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.86MiB / 7.756GiB
2024-06-02T13:56:37,swarm-vm3,autoscaler-swarm-autoscaler-1,0.07%,43.98MiB / 7.756GiB
2024-06-02T13:57:03,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.06MiB / 7.756GiB
2024-06-02T13:57:05,swarm-vm2,autoscaler-swarm-autoscaler-1,0.14%,43.86MiB / 7.756GiB
2024-06-02T13:57:06,swarm-vm3,autoscaler-swarm-autoscaler-1,0.06%,43.97MiB / 7.756GiB
2024-06-02T13:57:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.12%,45.06MiB / 7.756GiB
2024-06-02T13:57:35,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.86MiB / 7.756GiB
2024-06-02T13:57:37,swarm-vm3,autoscaler-swarm-autoscaler-1,0.05%,43.97MiB / 7.756GiB
2024-06-02T13:58:03,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.06MiB / 7.756GiB
2024-06-02T13:58:05,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.86MiB / 7.756GiB
2024-06-02T13:58:07,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,43.97MiB / 7.756GiB
2024-06-02T13:58:33,swarm-vm1,autoscaler-swarm-autoscaler-1,0.10%,45.06MiB / 7.756GiB
2024-06-02T13:58:34,swarm-vm2,autoscaler-swarm-autoscaler-1,0.03%,43.87MiB / 7.756GiB
2024-06-02T13:58:36,swarm-vm3,autoscaler-swarm-autoscaler-1,0.09%,43.97MiB / 7.756GiB
