timestamp,host,container_id,cpu_usage,memory_usage
2024-06-02T13:23:53,swarm-vm1,autoscaler-swarm-autoscaler-1,0.15%,45.08MiB / 7.756GiB
2024-06-02T13:23:55,swarm-vm2,autoscaler-swarm-autoscaler-1,0.10%,43.94MiB / 7.756GiB
2024-06-02T13:23:57,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.29MiB / 7.756GiB
2024-06-02T13:24:22,swarm-vm1,autoscaler-swarm-autoscaler-1,0.12%,45.08MiB / 7.756GiB
2024-06-02T13:24:24,swarm-vm2,autoscaler-swarm-autoscaler-1,0.08%,43.94MiB / 7.756GiB
2024-06-02T13:24:26,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.29MiB / 7.756GiB
2024-06-02T13:24:53,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.08MiB / 7.756GiB
2024-06-02T13:24:55,swarm-vm2,autoscaler-swarm-autoscaler-1,0.08%,43.94MiB / 7.756GiB
2024-06-02T13:24:57,swarm-vm3,autoscaler-swarm-autoscaler-1,0.13%,44.29MiB / 7.756GiB
2024-06-02T13:25:23,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.08MiB / 7.756GiB
2024-06-02T13:25:24,swarm-vm2,autoscaler-swarm-autoscaler-1,0.14%,43.94MiB / 7.756GiB
2024-06-02T13:25:26,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.29MiB / 7.756GiB
2024-06-02T13:25:53,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.08MiB / 7.756GiB
2024-06-02T13:25:55,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.94MiB / 7.756GiB
2024-06-02T13:25:56,swarm-vm3,autoscaler-swarm-autoscaler-1,0.10%,44.29MiB / 7.756GiB
2024-06-02T13:26:23,swarm-vm1,autoscaler-swarm-autoscaler-1,0.09%,45.08MiB / 7.756GiB
2024-06-02T13:26:25,swarm-vm2,autoscaler-swarm-autoscaler-1,0.09%,43.94MiB / 7.756GiB
2024-06-02T13:26:27,swarm-vm3,autoscaler-swarm-autoscaler-1,0.14%,44.29MiB / 7.756GiB
2024-06-02T13:26:53,swarm-vm1,autoscaler-swarm-autoscaler-1,0.15%,45.08MiB / 7.756GiB
2024-06-02T13:26:55,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.94MiB / 7.756GiB
2024-06-02T13:26:57,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.28MiB / 7.756GiB
2024-06-02T13:27:22,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.08MiB / 7.756GiB
2024-06-02T13:27:24,swarm-vm2,autoscaler-swarm-autoscaler-1,0.14%,43.94MiB / 7.756GiB
2024-06-02T13:27:26,swarm-vm3,autoscaler-swarm-autoscaler-1,0.14%,44.19MiB / 7.756GiB
2024-06-02T13:27:53,swarm-vm1,autoscaler-swarm-autoscaler-1,0.05%,45.08MiB / 7.756GiB
2024-06-02T13:27:55,swarm-vm2,autoscaler-swarm-autoscaler-1,0.09%,43.94MiB / 7.756GiB
2024-06-02T13:27:57,swarm-vm3,autoscaler-swarm-autoscaler-1,0.05%,44.19MiB / 7.756GiB
2024-06-02T13:28:23,swarm-vm1,autoscaler-swarm-autoscaler-1,0.16%,45.08MiB / 7.756GiB
2024-06-02T13:28:24,swarm-vm2,autoscaler-swarm-autoscaler-1,0.12%,43.94MiB / 7.756GiB
2024-06-02T13:28:26,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.19MiB / 7.756GiB
2024-06-02T13:28:53,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.08MiB / 7.756GiB
2024-06-02T13:28:55,swarm-vm2,autoscaler-swarm-autoscaler-1,0.05%,43.94MiB / 7.756GiB
2024-06-02T13:28:56,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.18MiB / 7.756GiB
2024-06-02T13:29:23,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.08MiB / 7.756GiB
2024-06-02T13:29:25,swarm-vm2,autoscaler-swarm-autoscaler-1,0.14%,43.94MiB / 7.756GiB
2024-06-02T13:29:27,swarm-vm3,autoscaler-swarm-autoscaler-1,0.10%,44.19MiB / 7.756GiB
2024-06-02T13:29:53,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.08MiB / 7.756GiB
2024-06-02T13:29:55,swarm-vm2,autoscaler-swarm-autoscaler-1,0.13%,43.94MiB / 7.756GiB
2024-06-02T13:29:57,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.19MiB / 7.756GiB
2024-06-02T13:30:22,swarm-vm1,autoscaler-swarm-autoscaler-1,0.11%,45.08MiB / 7.756GiB
2024-06-02T13:30:24,swarm-vm2,autoscaler-swarm-autoscaler-1,0.05%,43.94MiB / 7.756GiB
2024-06-02T13:30:26,swarm-vm3,autoscaler-swarm-autoscaler-1,0.11%,44.18MiB / 7.756GiB
2024-06-02T13:30:53,swarm-vm1,autoscaler-swarm-autoscaler-1,0.12%,45.08MiB / 7.756GiB
2024-06-02T13:30:55,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.94MiB / 7.756GiB
2024-06-02T13:30:57,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.18MiB / 7.756GiB
2024-06-02T13:31:23,swarm-vm1,autoscaler-swarm-autoscaler-1,0.05%,45.08MiB / 7.756GiB
2024-06-02T13:31:24,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.94MiB / 7.756GiB
2024-06-02T13:31:26,swarm-vm3,autoscaler-swarm-autoscaler-1,0.15%,44.19MiB / 7.756GiB
2024-06-02T13:31:53,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.08MiB / 7.756GiB
2024-06-02T13:31:55,swarm-vm2,autoscaler-swarm-autoscaler-1,0.04%,43.94MiB / 7.756GiB
2024-06-02T13:31:56,swarm-vm3,autoscaler-swarm-autoscaler-1,0.04%,44.18MiB / 7.756GiB
2024-06-02T13:32:23,swarm-vm1,autoscaler-swarm-autoscaler-1,0.04%,45.08MiB / 7.756GiB
