timestamp,namespace,pod,cpu_usage,memory_usage
2024-06-02T13:23:53,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.50m,45Mi
2024-06-02T13:23:55,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.00m,44Mi
2024-06-02T13:23:57,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:24:22,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.20m,45Mi
2024-06-02T13:24:24,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.80m,44Mi
2024-06-02T13:24:26,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:24:53,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-06-02T13:24:55,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.80m,44Mi
2024-06-02T13:24:57,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.30m,44Mi
2024-06-02T13:25:23,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-06-02T13:25:24,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.40m,44Mi
2024-06-02T13:25:26,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:25:53,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-06-02T13:25:55,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:25:56,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.00m,44Mi
2024-06-02T13:26:23,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.90m,45Mi
2024-06-02T13:26:25,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-06-02T13:26:27,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.40m,44Mi
2024-06-02T13:26:53,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.50m,45Mi
2024-06-02T13:26:55,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:26:57,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:27:22,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-06-02T13:27:24,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.40m,44Mi
2024-06-02T13:27:26,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.40m,44Mi
2024-06-02T13:27:53,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.50m,45Mi
2024-06-02T13:27:55,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-06-02T13:27:57,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-06-02T13:28:23,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.60m,45Mi
2024-06-02T13:28:24,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.20m,44Mi
2024-06-02T13:28:26,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:28:53,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-06-02T13:28:55,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-06-02T13:28:56,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:29:23,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-06-02T13:29:25,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.40m,44Mi
2024-06-02T13:29:27,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.00m,44Mi
2024-06-02T13:29:53,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-06-02T13:29:55,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.30m,44Mi
2024-06-02T13:29:57,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:30:22,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.10m,45Mi
2024-06-02T13:30:24,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-06-02T13:30:26,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.10m,44Mi
2024-06-02T13:30:53,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.20m,45Mi
