timestamp,namespace,pod,cpu_usage,memory_usage
2024-06-02T13:49:04,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.50m,47Mi
2024-06-02T13:49:05,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.50m,45Mi
2024-06-02T13:49:07,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:49:33,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.90m,47Mi
2024-06-02T13:49:35,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-06-02T13:49:37,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,1.60m,44Mi
2024-06-02T13:50:02,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,1.80m,47Mi
2024-06-02T13:50:04,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-06-02T13:50:06,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:50:33,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.80m,45Mi
2024-06-02T13:50:35,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:50:37,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:51:03,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.60m,45Mi
2024-06-02T13:51:05,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-06-02T13:51:07,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:51:32,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,2.30m,45Mi
2024-06-02T13:51:34,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:51:36,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-06-02T13:52:03,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-06-02T13:52:05,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:52:07,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:52:33,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.70m,45Mi
2024-06-02T13:52:35,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:52:36,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.60m,44Mi
2024-06-02T13:53:03,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.50m,45Mi
2024-06-02T13:53:05,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:53:07,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-06-02T13:53:33,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.60m,45Mi
2024-06-02T13:53:35,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.80m,44Mi
2024-06-02T13:53:37,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.90m,44Mi
2024-06-02T13:54:02,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.60m,45Mi
2024-06-02T13:54:04,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:54:06,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-06-02T13:54:33,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.60m,45Mi
2024-06-02T13:54:35,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:54:36,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.50m,44Mi
2024-06-02T13:55:03,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.70m,45Mi
2024-06-02T13:55:05,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,.40m,44Mi
2024-06-02T13:55:07,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.60m,44Mi
2024-06-02T13:55:33,swarm,swarm-vm1-autoscaler-swarm-autoscaler-1,.40m,45Mi
2024-06-02T13:55:35,swarm,swarm-vm2-autoscaler-swarm-autoscaler-1,1.00m,44Mi
2024-06-02T13:55:37,swarm,swarm-vm3-autoscaler-swarm-autoscaler-1,.60m,44Mi
